d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
8.900000000000000e-02,8.900000000000000e-02,8.900000000000000e-02,1.056133333333333e-02,1.056133333333337e-02,1.056133333333345e-02,1.056133333333331e-02,1.056133333333331e-02,1.056133333333348e-02,5.026403333333334e-01,1.056133333333351e-02,True,8.900000000000000e-02
9.000000000000000e-02,9.000000000000000e-02,9.000000000000000e-02,1.080000000000000e-02,1.079999999999996e-02,1.080000000000006e-02,1.079999999999981e-02,1.079999999999981e-02,1.079999999999987e-02,5.027000000000000e-01,1.080000000000036e-02,True,9.000000000000000e-02
9.100000000000000e-02,9.100000000000000e-02,9.100000000000000e-02,1.104133333333333e-02,1.104133333333328e-02,1.104133333333351e-02,1.104133333333335e-02,1.104133333333335e-02,1.104133333333357e-02,5.027603333333334e-01,1.104133333333359e-02,True,9.100000000000000e-02
9.200000000000000e-02,9.200000000000000e-02,9.200000000000000e-02,1.128533333333333e-02,1.128533333333335e-02,1.128533333333312e-02,1.128533333333331e-02,1.128533333333331e-02,1.128533333333337e-02,5.028213333333333e-01,1.128533333333365e-02,True,9.200000000000000e-02
9.300000000000000e-02,9.300000000000000e-02,9.300000000000000e-02,1.153200000000000e-02,1.153200000000005e-02,1.153199999999996e-02,1.153200000000015e-02,1.153200000000015e-02,1.153199999999993e-02,5.028830000000000e-01,1.153200000000026e-02,True,9.300000000000000e-02
9.400000000000000e-02,9.400000000000000e-02,9.400000000000000e-02,1.178133333333333e-02,1.178133333333337e-02,1.178133333333342e-02,1.178133333333331e-02,1.178133333333331e-02,1.178133333333342e-02,5.029453333333334e-01,1.178133333333370e-02,True,9.400000000000000e-02
9.500000000000000e-02,9.500000000000000e-02,9.500000000000000e-02,1.203333333333333e-02,1.203333333333334e-02,1.203333333333317e-02,1.203333333333356e-02,1.203333333333356e-02,1.203333333333334e-02,5.030083333333333e-01,1.203333333333356e-02,True,9.500000000000000e-02
9.600000000000000e-02,9.600000000000000e-02,9.600000000000000e-02,1.228800000000000e-02,1.228800000000004e-02,1.228799999999983e-02,1.228799999999997e-02,1.228799999999997e-02,1.228800000000002e-02,5.030720000000000e-01,1.228800000000030e-02,True,9.600000000000000e-02
9.700000000000000e-02,9.700000000000000e-02,9.700000000000000e-02,1.254533333333333e-02,1.254533333333337e-02,1.254533333333330e-02,1.254533333333346e-02,1.254533333333346e-02,1.254533333333330e-02,5.031363333333333e-01,1.254533333333357e-02,True,9.700000000000000e-02
9.800000000000000e-02,9.800000000000000e-02,9.800000000000000e-02,1.280533333333334e-02,1.280533333333334e-02,1.280533333333353e-02,1.280533333333328e-02,1.280533333333328e-02,1.280533333333334e-02,5.032013333333334e-01,1.280533333333361e-02,True,9.800000000000000e-02
9.900000000000000e-02,9.900000000000000e-02,9.900000000000000e-02,1.306800000000000e-02,1.306800000000004e-02,1.306799999999994e-02,1.306799999999991e-02,1.306799999999991e-02,1.306799999999997e-02,5.032670000000000e-01,1.306800000000047e-02,True,9.900000000000000e-02
