p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.06,single,50,4225091084,1000,496,0.034274193548387094,0.04000000000000005,-0.005725806451612955
0.07,single,1,3013584588,1000,501,0.03792415169660679,0.04666666666666666,-0.008742514970059873
0.07,single,2,1880981426,1000,486,0.03909465020576132,0.04666666666666666,-0.0075720164609053425
0.07,single,3,144888023,1000,501,0.03792415169660679,0.04666666666666666,-0.008742514970059873
0.07,single,4,600046807,1000,510,0.058823529411764705,0.04666666666666666,0.012156862745098043
0.07,single,5,1188080724,1000,495,0.06060606060606061,0.04666666666666666,0.013939393939393946
0.07,single,6,2732725969,1000,502,0.035856573705179286,0.04666666666666666,-0.010810092961487376
0.07,single,7,1333326519,1000,483,0.033126293995859216,0.04666666666666666,-0.013540372670807446
0.07,single,8,4062343884,1000,521,0.06525911708253358,0.04666666666666666,0.01859245041586692
0.07,single,9,3686647141,1000,526,0.034220532319391636,0.04666666666666666,-0.012446134347275026
0.07,single,10,1475982757,1000,482,0.06224066390041494,0.04666666666666666,0.015573997233748277
0.07,single,11,762381542,1000,511,0.04500978473581213,0.04666666666666666,-0.0016568819308545313
0.07,single,12,160181071,1000,510,0.043137254901960784,0.04666666666666666,-0.003529411764705878
0.07,single,13,4292790979,1000,464,0.03879310344827586,0.04666666666666666,-0.007873563218390799
0.07,single,14,2861059257,1000,500,0.036,0.04666666666666666,-0.010666666666666665
0.07,single,15,1490312023,1000,497,0.05030181086519115,0.04666666666666666,0.0036351441985244884
0.07,single,16,918314275,1000,514,0.04669260700389105,0.04666666666666666,2.5940337224389376e-05
0.07,single,17,3703404314,1000,506,0.05533596837944664,0.04666666666666666,0.008669301712779978
0.07,single,18,4066389990,1000,533,0.054409005628517824,0.04666666666666666,0.007742338961851163
0.07,single,19,3498233945,1000,515,0.05242718446601942,0.04666666666666666,0.005760517799352757
0.07,single,20,1248081622,1000,504,0.05357142857142857,0.04666666666666666,0.006904761904761907
0.07,single,21,869916169,1000,497,0.04627766599597585,0.04666666666666666,-0.0003890006706908089
0.07,single,22,42520706,1000,483,0.041407867494824016,0.04666666666666666,-0.005258799171842646
0.07,single,23,3469832843,1000,474,0.05907172995780591,0.04666666666666666,0.012405063291139246
0.07,single,24,54094274,1000,527,0.07400379506641366,0.04666666666666666,0.027337128399747
0.07,single,25,3844530629,1000,489,0.06748466257668712,0.04666666666666666,0.020817995910020454
